1,I got the best service from them.
1,"Very impressive service for the customers. I love how there comes a call for further confirmation of order and also for the address, which other online delivery platforms don't have and they always create misunderstandings and problems due to that. I also love the very easy, well-designed and conven..."
1,"Never had any issues with their delivery, always got my food on time with no problems. The new app UI looks good but is a little confusing at first. Only 4 stars because all my previous order history and saved addresses are gone due to the new update."
1,Great Service Pre-Order option is great. Loving it. :)
1,Delivery service at its best....
0,This app and site over charges than other similar services. The delivery takes way longer than the estimated time. The delivery people are rude. If prepaid via mobile payment they don't refund in case the food is not available. This is not a good nor appropriate service provider. NO THANK YOU I DELE...
0,"Never use this app! they cancel orders after two hours of waiting for food. the customer servuce is good for nothing, doesn't inform and dont even know how to talk properly. happens all the time."
0,Course food is life so I love the app but one big problem that's food delivery is taking up too much time. so I think I will get proper service from now on! ??
0,I am from Chattogram area. There is the service is good but slow. They offer good discounts sometimes.
0,Pretty good service but the delivery time needs to improve. The foods get really cold and soggy.
0,There is no pictures when I order from a restaurant menu. 2. Lots of restaurants is missing.
0,"very late service, Doesn't even receive call.. worst app ever...totally waste of time... Please Don't install it"
1,Good timing & many item price is less than othet food delivery apps. Thanks
1,Coverage area is huge..good one..but delivery time should be shorten....
1,The customer support Is good and service is available 24 hours which is that we don?t need to be afraid of the timings and the part is that time given is true means we will get the delivery on time also help us to tell the nearby resturants. The overall use this app if you are using looking for fres...
1,Awesome app and a great food delivery service.
1,Very professional. And super active customer support team. Overall Loved your service. Thanks.
0,Good but they don't serve food everywhere and they also have a lot of limitations!
1,Very quick delivery and I am really satisfied with their service
0,I live in Mohammadpur but can't order from any restaurants in Dhanmondi when previously I could.Other than that everything else appears to work fine.
1,Awesome service ! The best food delivery app in Bangladesh..
1,Great service with caring customer support!
1,They have great customer service and a huge variety of restaurant choices available.
0,Terrible user experience and organizational flow. The order placement almost always misses the items actually available at the store and ends up in multiple back and forth calls with their representative. The location services usually gets the address wrong and the customer representative can solve ...
1,Satisfied with the service.
0,Very late confirmation of orders and very late delivery. Totally 0 by their services day by day
0,They give you promo code but later doesn't accept it then why giving the promo code and making us download the app giving fake promo codes
0,Service is not good.After taking order they told that restaurent is closed.If you dont know about the restaurent situation then why take order by keeping that restaurent name.U should say unavaiable.Its really very irritating that after ordering u confirm and then tell restaurent is close.
1,I'm fully satisfied on their services and quick delivery.
1,they call us for the address confirmation and order. slow delivery but reliable.
1,This is good & fast delivered company
0,Cash on delivery not available in most areas. This is a big drawback.
0,I can't give payment by my credit card.. Only cash on delivery why???
1,very good service they provide..
1,"One of the best, food delivery company in Bangladesh. On time they delivered their food and I'm so satisfied with their service"
1,"So far, I am pleased with the services. Especially appreciate the quarbani arrangement. Please keep it up."
0,Too much time is taken for the delivery
1,Now bcash option is back.... thanks
0,Very bad service and very expensive
1,Fast delivery & Good Service
0,Fast delivery.....bt not all the restaurants of ng is listed in the app..... like grand hall vuter bari ect ....you people should enlist them also????
0,Whenever I try to order I am only given the option to pre-order.
0,I waited for 1.5 hours. Their support center didn't even receive my phone call too. The order was confirmed then the rest is history ??
1,It's very useful. And also better tahn foodpanda
1,very good service.
0,delivery options arenot available everywhere in dhaka
0,The delivery time was supposed to be 45 minutes for my order. It?s been straight 2 hours since I ordered but yet to receive my food. Called the customer care number and the guy said he won't be able to do anything. It's completely inhumane if you force the customers to wait for so long and then serv...
0,"Feel stupid to use hungry naki. I had guest. I told them again and again if you can't deliver then just tell me, I will arrange. But as usual, they promised they would deliver after 2 hours. Time passed no response. If you don't Wana feel stupid, I suggest use pathao or go buy food yourself. Hugnryn..."
0,"Was a regular user of their service. But one day a delivery man took my total amount of tk 1200 and returned only 90 tk , whereas the bill was 815 tk. I gave notes of 2 500s , and 2 100s tk. By the time i noticed it, he went away.When I talked to him later abt this issue,he said the bill was 815 tk ..."
0,The service is really slower than other services are there now. You need to improve to keep up with them. Why would I order through Hungrynaki if it takes 2 hours to deliver food when other services deliver it within 30 minutes from the same location? Not only you're slow but your delivery charge is...
1,Good service in BD
0,They delay the delivery to an extent of irritation. And they do not update order status. Service is poor. For a food delivery I paid online they first denied that my location is out of service boundary. Then I told them to check my order history. I ordered the same thing 2 days ago from the same sho...
0,"Worst experience ever. Yesterday i ordered food it was confirmed at 7. 25 p.m saying it'll take 70minutes. But they took 2.hrs 35mins!! I was too embarassed in front of my guest.Within this time we could have personally be there eating our food and be back. I called to cancel at10p.m, then deliverym..."
1,"the customer care service is very good, they check every details of the order and confirm everything, if there is any delay they will inform and ask you if u want to cancel the order, and no matter how many times you call them they will never show you any slight pinch of annoyance, and everytime my ..."
0,"Ordered food at 2:54pm, still waiting at 5.02pm of a bright sunny day, I'm very sure that this is gonna be the coldest food ever. If you can't do business with time manner, don't do it in Cox's Bazar. I'd have cancelled or called a no show to my order if I haven't paid already."
0,Worst delivery service ever!
0,"Two times I ordered things & Two times the rider stole the drinks (didn?t bring it). And the last time I prepaid everything via card, and the rider asked for 38 more taka coming home, saying prices went up. Cheaters & thiefs! Stay away from them."
0,"My order got rejected, but only after i already paid with bkash. Took them about 20 days to refund the money, but they kept the delivery fee (??). They refunded 460tk on a 590tk order. I reallt wanna know what these guys are smoking up there. Atrocious customer service too. Would not recommend."
0,Absolutely disgusting service. Allows online payment and charges you money and then no delivery takes place. No one picks up at customer care service and they put you on hold and wastes your phone balance amd then ends the call after 6 minutes on hold automatically. There is absolutely no reason to ...
0,"my first order was cancelled. Then i ordered same foods in another restaurent. it was closed. then i tried in other restaurants in the same day. By counting, I ordered 5 times in 2 hours. They were failed to serve my pre-orders. disgusting app. The better App is Food Panda. You can use Foodpanda as ..."
0,They gave me time 70mins but rest is history. Worst experience.
0,Very bad delivery experience.
0,Worst Service from their site..!! if you order they will take at least 2hr and after that they will call you and ask for more time..and its not only for exceptional basis..its their regular thing. And their customer service lies to you every time.
0,What a nasty response by you and your service. The support doesn't respond in time. Even the application is worse. The delivery system is too bad if will order today you will get you delivery tomorrow. Huge delay in delivery..
0,We need Hungry Naki in Jatrabari. We can't order from Hungry Naki because of we are living in Jatrabari. I installed this app one year ago and i was thinking Hungry Naki definitely do something about Jatrabari for delivering food but one year almost gone Hungry Naki don?t take any action still.
0,"Worst experience.. I ordered food @ 2.48 pm and gave delivery time @9.10 pm. At 10 they called and said that they will need 1.15 hr more and also they could not deliver my ordered food properly. If you can't manage well then stop your service, don't harass people."
0,"Fortunately there was no 0 stars... After keeping me waited for about an hour they called me at 9:44 pm when nearly all the restaurants are closed and then cancelled my order... Sir you will not be able to continue your scam(what you call your ""service"") for long."
0,"Ordered food, waited for 2 hours, didn't receive any update or call to let us know anything about it. Expected better service. Hope you can work on these!"
0,Horrible. Never gonna order anything from here in future. I ordered 1 pizza and 2 soft drinks. But they only delivered the pizza. They totally forgot about the drinks. Also the delivery took almost 2 hours.
0,The worst service. They don't pick up when you call at their number. My order didn't even confirm because I chose bkash option. I mean why keep that option if it's not working. The worst experience ever
0,Such a bull shite service every time they create some issue and cancel the order after mobile payment.and customer service representative are showing there app are not ready or updating.if hungry naki is not able to deliver food why they are ensure that your order is ready for delivery.
0,worst food delivery service you can expect. after placing order they call me after 10 minutes and told me we are in rush today so it will take two hours to deliver your food. do they even know what their competition is doing?
1,You guys are doing such a great job on this situation (Covid-19). Totally satisfied with your service
0,your service is very very bad ??. I am really very 0. i order food at 4.56 pm. But now 9.20 pm. Till now i could not receive my food....??
